,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,,,,,,,
p1k_00443,pdhr_ale__pdhR-14_46__1,pdhR-ALE,pdhr_ale,pdhR-14_46,1,Escherichia coli EEP_pdhR-14.46.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.9,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161940,SRR13776284,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD2A_pdhRKO-ALE_14dot46dot1dot1_Replicate-1_S3_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD2A_pdhRKO-ALE_14dot46dot1dot1_Replicate-1_S3_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-14_46,True,True,11/6/19,2,,,,,,
p1k_00444,pdhr_ale__pdhR-14_46__2,pdhR-ALE,pdhr_ale,pdhR-14_46,2,Escherichia coli EEP_pdhR-14.46.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.9,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161941,SRR13776285,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD2B_pdhRKO-ALE_14dot46dot1dot1_Replicate-2_S4_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD2B_pdhRKO-ALE_14dot46dot1dot1_Replicate-2_S4_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-14_46,True,True,11/6/19,2,,,,,,
p1k_00445,pdhr_ale__pdhR-15_51__1,pdhR-ALE,pdhr_ale,pdhR-15_51,1,Escherichia coli EEP_pdhR-15.51.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161942,SRR13776286,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD3A_pdhRKO-ALE_15dot51dot1dot1_Replicate-1_S5_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD3A_pdhRKO-ALE_15dot51dot1dot1_Replicate-1_S5_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-15_51,True,True,11/6/19,2,,,,,,
p1k_00446,pdhr_ale__pdhR-15_51__2,pdhR-ALE,pdhr_ale,pdhR-15_51,2,Escherichia coli EEP_pdhR-15.51.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161943,SRR13776287,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD3B_pdhRKO-ALE_15dot51dot1dot1_Replicate-2_S6_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD3B_pdhRKO-ALE_15dot51dot1dot1_Replicate-2_S6_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-15_51,True,True,11/6/19,2,,,,,,
p1k_00447,pdhr_ale__pdhR-16_49__1,pdhR-ALE,pdhr_ale,pdhR-16_49,1,Escherichia coli EEP_pdhR-16.49.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161944,SRR13776288,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD4A_pdhRKO-ALE_16dot49dot1dot1_Replicate-1_S7_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD4A_pdhRKO-ALE_16dot49dot1dot1_Replicate-1_S7_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-16_49,True,True,11/6/19,2,,,,,,
p1k_00448,pdhr_ale__pdhR-16_49__2,pdhR-ALE,pdhr_ale,pdhR-16_49,2,Escherichia coli EEP_pdhR-16.49.1.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,,p1k_00001,p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2021.108961,GSE167389,SRX10161945,SRR13776289,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD4B_pdhRKO-ALE_16dot49dot1dot1_Replicate-2_S8_R1_001.fastq.gz,s3://precise-db/raw_data/pdhr_ale/EEP_HRS_PD4B_pdhRKO-ALE_16dot49dot1dot1_Replicate-2_S8_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,True,True,True,True,pdhr_ale:pdhR-16_49,True,True,11/6/19,2,,,,,,
p1k_00612,ros_tale__0_0_0pq__1,ROS TALE,ros_tale,0_0_0pq,1,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_0PQ_RNA_S24_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_0PQ_RNA_S24_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:0_0_0pq,True,True,11/28/17,2,,,,,,
p1k_00613,ros_tale__0_0_0pq__2,ROS TALE,ros_tale,0_0_0pq,2,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_0PQ_RNA_S23_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_0PQ_RNA_S23_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:0_0_0pq,True,True,11/28/17,2,,,,,,
p1k_00614,ros_tale__0_0_250pq__1,ROS TALE,ros_tale,0_0_250pq,1,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_PQ_RNA_S27_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_PQ_RNA_S27_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:0_0_250pq,True,True,11/28/17,2,,,,,,
p1k_00615,ros_tale__0_0_250pq__2,ROS TALE,ros_tale,0_0_250pq,2,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_PQ_RNA_S26_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_PQ_RNA_S26_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:0_0_250pq,True,True,11/28/17,2,,,,,,
p1k_00558,ros_tale__1_mid_250pq__1,ROS TALE,ros_tale,1_mid_250pq,1,Escherichia coli ERS.16.28,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_mid_250pq,True,True,11/28/17,2,,,,,,
p1k_00559,ros_tale__1_mid_250pq__2,ROS TALE,ros_tale,1_mid_250pq,2,Escherichia coli ERS.16.28,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28B_RNA_rerun_S89_L004_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28B_RNA_rerun_S89_L004_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_mid_250pq,True,True,11/28/17,2,,,,,,
p1k_00562,ros_tale__1_0_0pq__3,ROS TALE,ros_tale,1_0_0pq,3,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_0PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_0PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_0pq,True,True,11/28/17,2,,,,,,
p1k_00563,ros_tale__1_0_0pq__4,ROS TALE,ros_tale,1_0_0pq,4,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_0PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_0PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_0pq,True,True,11/28/17,2,,,,,,
p1k_00564,ros_tale__1_0_250pq__1,ROS TALE,ros_tale,1_0_250pq,1,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_250pq,True,True,11/28/17,2,,,,,,
p1k_00565,ros_tale__1_0_250pq__2,ROS TALE,ros_tale,1_0_250pq,2,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_250pq,True,True,11/28/17,2,,,,,,
p1k_00566,ros_tale__1_0_750pq__1,ROS TALE,ros_tale,1_0_750pq,1,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_750pq,True,True,9/20/19,2,,,,,,
p1k_00567,ros_tale__1_0_750pq__2,ROS TALE,ros_tale,1_0_750pq,2,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_0_750pq,True,True,9/20/19,2,,,,,,
p1k_00540,ros_tale__1_1_0pq__1,ROS TALE,ros_tale,1_1_0pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_0pq,True,True,10/30/19,2,,,,,,
p1k_00541,ros_tale__1_1_0pq__2,ROS TALE,ros_tale,1_1_0pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_0pq,True,True,10/30/19,2,,,,,,
p1k_00542,ros_tale__1_1_250pq__1,ROS TALE,ros_tale,1_1_250pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_250pq,True,True,10/30/19,2,,,,,,
p1k_00543,ros_tale__1_1_250pq__2,ROS TALE,ros_tale,1_1_250pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_250pq,True,True,10/30/19,2,,,,,,
p1k_00544,ros_tale__1_1_750pq__1,ROS TALE,ros_tale,1_1_750pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_750pq,True,True,10/30/19,2,,,,,,
p1k_00545,ros_tale__1_1_750pq__2,ROS TALE,ros_tale,1_1_750pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_1_750pq,True,True,10/30/19,2,,,,,,
p1k_00546,ros_tale__1_2_0pq__1,ROS TALE,ros_tale,1_2_0pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_0pq,True,True,1/21/20,2,,,,,,
p1k_00547,ros_tale__1_2_0pq__2,ROS TALE,ros_tale,1_2_0pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_0pq,True,True,1/21/20,2,,,,,,
p1k_00548,ros_tale__1_2_250pq__1,ROS TALE,ros_tale,1_2_250pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_250pq,True,True,10/30/19,2,,,,,,
p1k_00549,ros_tale__1_2_250pq__2,ROS TALE,ros_tale,1_2_250pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_250pq,True,True,10/30/19,2,,,,,,
p1k_00550,ros_tale__1_2_750pq__1,ROS TALE,ros_tale,1_2_750pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_750pq,True,True,1/21/20,2,,,,,,
p1k_00551,ros_tale__1_2_750pq__2,ROS TALE,ros_tale,1_2_750pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_2_750pq,True,True,1/21/20,2,,,,,,
p1k_00568,ros_tale__1_3_0pq__1,ROS TALE,ros_tale,1_3_0pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_0pq,True,True,1/21/20,2,,,,,,
p1k_00569,ros_tale__1_3_0pq__2,ROS TALE,ros_tale,1_3_0pq,2,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_0pq,True,True,1/21/20,2,,,,,,
p1k_00570,ros_tale__1_3_250pq__1,ROS TALE,ros_tale,1_3_250pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_250pq,True,True,1/16/20,4,,,,,,
p1k_00571,ros_tale__1_3_250pq__2,ROS TALE,ros_tale,1_3_250pq,2,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001,p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_250pq,True,True,1/16/20,4,,,,,,
p1k_00572,ros_tale__1_3_250pq__3,ROS TALE,ros_tale,1_3_250pq,3,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,p1k_00001,p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__3__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__3__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_250pq,True,True,1/16/20,4,,,,,,
p1k_00573,ros_tale__1_3_250pq__4,ROS TALE,ros_tale,1_3_250pq,4,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,p1k_00001,p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__4__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__4__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_250pq,True,True,1/16/20,4,,,,,,
p1k_00574,ros_tale__1_3_750pq__1,ROS TALE,ros_tale,1_3_750pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_750pq,True,True,1/21/20,2,,,,,,
p1k_00575,ros_tale__1_3_750pq__2,ROS TALE,ros_tale,1_3_750pq,2,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_3_750pq,True,True,1/21/20,2,,,,,,
p1k_00586,ros_tale__1_4_0pq__1,ROS TALE,ros_tale,1_4_0pq,1,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001,p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__19_91_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__19_91_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,True,True,True,True,ros_tale:1_4_0pq,True,True,1/20/20,2,,,,,,
